engine,dataset_size,workload,observations,unique_queries_per_repetition,repetitions,median_latency_ms_pooled,p95_latency_ms_pooled,mean_latency_ms_pooled,mean_recall10_pooled,min_returned,queries_with_fewer_than_10_pooled,rep1_median_ms,rep2_median_ms,rep3_median_ms,median_of_rep_medians_ms,stdev_rep_medians_ms,rep1_p95_ms,rep2_p95_ms,rep3_p95_ms,rep1_mean_recall10,rep2_mean_recall10,rep3_mean_recall10
pg-hnsw,250000,w1,2700,900,3,2.440375,5.081741649999999,2.7090817696296297,0.9504444444444445,10,0,2.592021,2.35125,2.4060420000000002,2.4060420000000002,0.12620157562804038,5.470666999999998,4.428181249999999,5.088816349999996,0.9504444444444445,0.9504444444444444,0.9504444444444445
pg-hnsw,250000,w2_50,2700,900,3,209.33697949999998,216.1732006,210.44254143703702,1.0,10,0,209.4853125,208.73310450000002,209.9570415,209.4853125,0.6173015071899506,215.30586664999998,214.5996354,219.42509019999997,1.0,1.0,1.0
pg-hnsw,250000,w2_10,2700,900,3,62.566978500000005,66.22940064999999,62.948791751111116,1.0,10,0,62.704958500000004,62.346917000000005,62.6509795,62.6509795,0.1930291221851838,65.97954585000001,65.90384135000001,66.61909969999999,1.0,1.0,1.0
pg-hnsw,250000,w2_1,2700,900,3,6.0173755,9.020642299999999,6.316778610740741,1.0,10,0,6.0342085,6.0178955,5.992896,6.0178955,0.02080789764128037,8.94714615,9.035970499999998,8.922772949999999,1.0,1.0,1.0
pg-hnsw,250000,w2_0_1,2700,900,3,0.9699169999999999,1.8544264499999972,1.1159564188888886,1.0,10,0,0.9705,0.9706045,0.9685,0.9705,0.0011860185847335195,2.7027062499999985,1.6571743999999995,1.5423318999999975,1.0,1.0,1.0
pg-hnsw,250000,w3,2700,900,3,61.384146,65.58184164999999,61.87986054555556,1.0,10,0,60.4848545,61.387625,62.264541,61.387625,0.8898745496799461,64.27788125,65.72529164999999,66.3100893,1.0,1.0,1.0
pg-hnsw,250000,w4_acl,2700,900,3,5.812979,9.049617299999996,6.126696750000001,1.0,10,0,5.788854499999999,5.868479499999999,5.7835415,5.788854499999999,0.047579464124066315,9.01386075,9.45799375,8.944225349999998,1.0,1.0,1.0
pg-diskann,250000,w1,2700,900,3,7.911167,10.483288949999997,7.965080795555555,0.9742222222222222,10,0,8.0306255,7.8106045,7.894895999999999,7.894895999999999,0.11100810374585232,10.5483934,10.371387499999999,10.47856105,0.9742222222222223,0.9742222222222223,0.9742222222222223
pg-diskann,250000,w2_50,2700,900,3,7.8160625,10.116616049999996,7.894495726666666,0.965111111111111,10,0,7.905333000000001,7.800812499999999,7.7749585,7.800812499999999,0.06902955223006581,10.238716349999999,10.217283649999999,10.018462849999999,0.9651111111111111,0.9651111111111111,0.9651111111111111
pg-diskann,250000,w2_10,2700,900,3,11.8502915,15.56277675,12.029330882592593,0.947888888888889,10,0,11.008125,11.800375500000001,12.7629795,11.800375500000001,0.8788042663885687,14.741216049999998,15.01807535,16.382499349999996,0.947888888888889,0.947888888888889,0.9478888888888889
pg-diskann,250000,w2_1,2700,900,3,6.480916499999999,9.497985699999996,6.829516679259259,1.0,10,0,6.124771,6.003000500000001,7.3021875000000005,6.124771,0.7175217220999307,9.146383299999998,9.037268749999997,9.987652749999999,1.0,1.0,1.0
pg-diskann,250000,w2_0_1,2700,900,3,1.0594165,2.776341049999993,1.2403444151851852,1.0,10,0,1.048792,1.052083,1.085937,1.052083,0.020561594547440415,2.568764899999998,2.3814441,3.3426618499999985,1.0,1.0,1.0
pg-diskann,250000,w3,2700,900,3,20.5079165,25.5579878,20.749932284444444,0.9666666666666667,10,0,20.5066665,20.465146,20.554833000000002,20.5066665,0.044884521481056205,25.670357999999997,25.455614899999997,25.536354799999998,0.9666666666666667,0.9666666666666667,0.9666666666666667
pg-diskann,250000,w4_acl,2700,900,3,5.906333500000001,8.698289599999994,6.184976912962962,1.0,10,0,5.9887084999999995,5.8651875,5.866833,5.866833,0.07084464530635536,8.807384749999997,8.865545849999998,8.3196,1.0,1.0,1.0
qdrant,250000,w1,2700,900,3,7.3549785,11.875512799999987,8.007024512962964,0.9775555555555556,10,0,7.841021,7.0081039999999994,7.266875499999999,7.266875499999999,0.4262934187605802,11.92321845,11.518073199999998,12.535580649999995,0.9775555555555555,0.9775555555555555,0.9775555555555556
qdrant,250000,w2_50,2700,900,3,7.0395205,11.366393449999997,7.679517264814815,0.9476666666666668,10,0,7.371499999999999,6.830166999999999,6.9719795,6.9719795,0.2807041241727368,11.165214899999999,11.456594099999995,11.379269049999998,0.9476666666666668,0.9476666666666668,0.9476666666666668
qdrant,250000,w2_10,2700,900,3,6.6710625,11.433316349999997,7.399971390740741,0.9814444444444445,10,0,6.8384585,6.649604,6.5264165,6.649604,0.15716837685027477,12.263882999999995,11.0327205,10.877268749999999,0.9814444444444443,0.9814444444444443,0.9814444444444443
qdrant,250000,w2_1,2700,900,3,6.758062499999999,11.142349349999998,7.4271192892592595,1.0,10,0,6.794521,6.749042,6.7191045,6.749042,0.03797420576193758,11.181429149999992,11.051366699999999,11.1325083,1.0,1.0,1.0
qdrant,250000,w2_0_1,2700,900,3,5.7805835,9.75440355,6.332975182962963,1.0,10,0,5.8657085,5.807021000000001,5.650729500000001,5.807021000000001,0.11112097466987633,9.8802059,9.75440355,9.6086455,1.0,1.0,1.0
