engine,dataset_size,repetition,workload,query_rank,latency_ms,recall10,returned_count,candidate_count,execution_path
pg-hnsw,250000,2,w1,633,2.945625,1.0,10,,hnsw
pg-hnsw,250000,2,w1,986,3.542459,1.0,10,,hnsw
pg-hnsw,250000,2,w1,746,2.35075,1.0,10,,hnsw
pg-hnsw,250000,2,w1,221,2.61175,1.0,10,,hnsw
pg-hnsw,250000,2,w1,328,2.39975,1.0,10,,hnsw
pg-hnsw,250000,2,w1,944,2.830584,0.5,10,,hnsw
pg-hnsw,250000,2,w1,731,3.592333,1.0,10,,hnsw
pg-hnsw,250000,2,w1,464,3.078875,0.9,10,,hnsw
pg-hnsw,250000,2,w1,218,4.8955,0.9,10,,hnsw
pg-hnsw,250000,2,w1,165,2.751625,1.0,10,,hnsw
pg-hnsw,250000,2,w1,795,1.93125,0.9,10,,hnsw
pg-hnsw,250000,2,w1,895,1.937958,1.0,10,,hnsw
pg-hnsw,250000,2,w1,533,2.295833,1.0,10,,hnsw
pg-hnsw,250000,2,w1,463,1.734709,1.0,10,,hnsw
pg-hnsw,250000,2,w1,180,6.195209,1.0,10,,hnsw
pg-hnsw,250000,2,w1,470,2.957041,1.0,10,,hnsw
pg-hnsw,250000,2,w1,709,3.597209,1.0,10,,hnsw
pg-hnsw,250000,2,w1,551,2.34425,1.0,10,,hnsw
pg-hnsw,250000,2,w1,884,2.211292,1.0,10,,hnsw
pg-hnsw,250000,2,w1,240,3.768917,1.0,10,,hnsw
pg-hnsw,250000,2,w1,449,2.451875,1.0,10,,hnsw
pg-hnsw,250000,2,w1,400,2.322375,1.0,10,,hnsw
pg-hnsw,250000,2,w1,759,2.485875,0.9,10,,hnsw
pg-hnsw,250000,2,w1,734,2.528917,0.8,10,,hnsw
pg-hnsw,250000,2,w1,544,2.956416,0.9,10,,hnsw
pg-hnsw,250000,2,w1,366,2.538375,1.0,10,,hnsw
pg-hnsw,250000,2,w1,503,2.006,0.9,10,,hnsw
pg-hnsw,250000,2,w1,390,2.689166,1.0,10,,hnsw
pg-hnsw,250000,2,w1,816,2.446917,0.9,10,,hnsw
pg-hnsw,250000,2,w1,645,2.549375,1.0,10,,hnsw
pg-hnsw,250000,2,w1,266,2.084917,1.0,10,,hnsw
pg-hnsw,250000,2,w1,547,2.204083,1.0,10,,hnsw
pg-hnsw,250000,2,w1,972,2.467125,1.0,10,,hnsw
pg-hnsw,250000,2,w1,755,5.6195,1.0,10,,hnsw
pg-hnsw,250000,2,w1,321,3.176833,1.0,10,,hnsw
pg-hnsw,250000,2,w1,227,2.158667,1.0,10,,hnsw
pg-hnsw,250000,2,w1,954,2.876917,1.0,10,,hnsw
