engine,dataset_size,repetition,workload,query_rank,latency_ms,recall10,returned_count,candidate_count,execution_path
pg-diskann,250000,3,w1,423,7.869792,1.0,10,,diskann
pg-diskann,250000,3,w1,122,6.826583,1.0,10,,diskann
pg-diskann,250000,3,w1,706,7.138791,1.0,10,,diskann
pg-diskann,250000,3,w1,418,6.419125,1.0,10,,diskann
pg-diskann,250000,3,w1,908,6.767833,1.0,10,,diskann
pg-diskann,250000,3,w1,642,6.794583,1.0,10,,diskann
pg-diskann,250000,3,w1,515,7.419166,1.0,10,,diskann
pg-diskann,250000,3,w1,225,9.538791,1.0,10,,diskann
pg-diskann,250000,3,w1,176,8.407333,0.9,10,,diskann
pg-diskann,250000,3,w1,644,13.48825,1.0,10,,diskann
pg-diskann,250000,3,w1,576,20.457458,0.8,10,,diskann
pg-diskann,250000,3,w1,785,22.495625,0.7,10,,diskann
pg-diskann,250000,3,w1,431,6.234375,1.0,10,,diskann
pg-diskann,250000,3,w1,415,11.983542,1.0,10,,diskann
pg-diskann,250000,3,w1,508,7.5275,1.0,10,,diskann
pg-diskann,250000,3,w1,248,7.6315,1.0,10,,diskann
pg-diskann,250000,3,w1,522,6.645625,1.0,10,,diskann
pg-diskann,250000,3,w1,301,6.542167,1.0,10,,diskann
pg-diskann,250000,3,w1,694,8.354166,0.9,10,,diskann
pg-diskann,250000,3,w1,711,7.699125,0.8,10,,diskann
pg-diskann,250000,3,w1,227,7.31025,1.0,10,,diskann
pg-diskann,250000,3,w1,880,7.516084,1.0,10,,diskann
pg-diskann,250000,3,w1,701,9.106,1.0,10,,diskann
pg-diskann,250000,3,w1,113,6.9775,1.0,10,,diskann
pg-diskann,250000,3,w1,656,8.870667,1.0,10,,diskann
pg-diskann,250000,3,w1,899,8.580416,0.8,10,,diskann
pg-diskann,250000,3,w1,351,7.113916,1.0,10,,diskann
pg-diskann,250000,3,w1,620,8.447291,1.0,10,,diskann
pg-diskann,250000,3,w1,792,7.888042,1.0,10,,diskann
pg-diskann,250000,3,w1,492,7.845833,1.0,10,,diskann
pg-diskann,250000,3,w1,802,8.560834,0.9,10,,diskann
pg-diskann,250000,3,w1,328,9.551834,1.0,10,,diskann
pg-diskann,250000,3,w1,131,6.915167,0.9,10,,diskann
pg-diskann,250000,3,w1,445,8.795959,1.0,10,,diskann
pg-diskann,250000,3,w1,739,6.429834,1.0,10,,diskann
pg-diskann,250000,3,w1,413,7.367042,1.0,10,,diskann
pg-diskann,250000,3,w1,950,4.587334,1.0,10,,diskann
pg-diskann,250000,3,w1,458,13.4125,1.0,10,,diskann
pg-diskann,250000,3,w1,427,9.651834,0.8,10,,diskann
pg-diskann,250000,3,w1,505,10.435334,1.0,10,,diskann
pg-diskann,250000,3,w1,134,10.368041,1.0,10,,diskann
pg-diskann,250000,3,w1,635,10.006125,1.0,10,,diskann
pg-diskann,250000,3,w1,961,9.079042,1.0,10,,diskann
pg-diskann,250000,3,w1,949,19.057625,1.0,10,,diskann
pg-diskann,250000,3,w1,173,7.810042,1.0,10,,diskann
pg-diskann,250000,3,w1,546,12.693583,1.0,10,,diskann
pg-diskann,250000,3,w1,915,9.087458,1.0,10,,diskann
pg-diskann,250000,3,w1,700,10.003542,1.0,10,,diskann
pg-diskann,250000,3,w1,203,7.3345,1.0,10,,diskann
pg-diskann,250000,3,w1,396,8.667958,1.0,10,,diskann
pg-diskann,250000,3,w1,422,9.377958,1.0,10,,diskann
pg-diskann,250000,3,w1,536,9.435084,1.0,10,,diskann
pg-diskann,250000,3,w1,793,9.430292,1.0,10,,diskann
pg-diskann,250000,3,w1,368,8.781167,1.0,10,,diskann
pg-diskann,250000,3,w1,608,7.821333,1.0,10,,diskann
pg-diskann,250000,3,w1,715,8.716958,1.0,10,,diskann
pg-diskann,250000,3,w1,895,10.028917,1.0,10,,diskann
pg-diskann,250000,3,w1,627,10.186167,1.0,10,,diskann
pg-diskann,250000,3,w1,809,7.882458,1.0,10,,diskann
pg-diskann,250000,3,w1,638,6.264875,1.0,10,,diskann
pg-diskann,250000,3,w1,794,6.573458,1.0,10,,diskann
pg-diskann,250000,3,w1,387,8.038041,1.0,10,,diskann
pg-diskann,250000,3,w1,406,8.13425,1.0,10,,diskann
pg-diskann,250000,3,w1,993,8.681167,0.9,10,,diskann
pg-diskann,250000,3,w1,363,10.446,0.9,10,,diskann
pg-diskann,250000,3,w1,657,8.805167,1.0,10,,diskann
pg-diskann,250000,3,w1,317,8.8065,1.0,10,,diskann
pg-diskann,250000,3,w1,671,8.081,0.9,10,,diskann
pg-diskann,250000,3,w1,691,9.831417,1.0,10,,diskann
pg-diskann,250000,3,w1,755,7.092125,1.0,10,,diskann
pg-diskann,250000,3,w1,798,7.235292,1.0,10,,diskann
pg-diskann,250000,3,w1,851,6.955,0.9,10,,diskann
pg-diskann,250000,3,w1,955,6.804,1.0,10,,diskann
pg-diskann,250000,3,w1,494,8.084125,1.0,10,,diskann
pg-diskann,250000,3,w1,874,9.49525,1.0,10,,diskann
pg-diskann,250000,3,w1,486,7.720166,1.0,10,,diskann
pg-diskann,250000,3,w1,562,6.961875,1.0,10,,diskann
pg-diskann,250000,3,w1,316,9.203334,1.0,10,,diskann
pg-diskann,250000,3,w1,401,7.541541,1.0,10,,diskann
pg-diskann,250000,3,w1,290,8.389542,1.0,10,,diskann
pg-diskann,250000,3,w1,746,7.761542,1.0,10,,diskann
