engine,hnsw_ef,mean_recall10,median_latency_ms_tuning_only,p95_latency_ms_tuning_only,queries
qdrant,40,0.9620000000000002,6.7445415,9.7303681,100
qdrant,60,0.9810000000000001,6.1362915000000005,7.883849699999995,100
qdrant,80,0.9820000000000002,7.0079585,9.22938095,100
qdrant,100,0.987,7.679562499999999,9.61258125,100
qdrant,150,0.99,8.509708,10.58136635,100
qdrant,200,0.9930000000000001,9.809646,13.3151601,100
qdrant,300,0.9969999999999999,11.820167,14.23187295,100
qdrant,400,0.998,14.185125,17.154295499999996,100
qdrant,600,0.998,16.949708,20.0712819,100
qdrant,800,0.9990000000000001,20.749104000000003,24.81527225,100
qdrant,1000,1.0,24.076,27.64143925,100
