query_search_list_size,query_rescore,w2_50_recall,w2_50_median_ms,w2_50_min_returned,w2_10_recall,w2_10_median_ms,w2_10_min_returned
100,100,0.9710000000000001,7.6132290000000005,10,0.9510000000000002,7.315896,10
100,200,0.991,9.457958,10,0.97,7.559729,10
150,200,0.991,8.711125500000001,10,0.975,8.3374375,10
200,400,0.996,12.405916999999999,10,0.9870000000000002,11.920917,10
