engine,mean_recall10,median_latency_ms_tuning_only,p95_latency_ms_tuning_only,queries,query_rescore,query_search_list_size
pg-diskann,0.9400000000000002,5.012979,7.412488949999998,100,50,50
pg-diskann,0.9710000000000002,7.1826039999999995,9.424755600000001,100,100,75
pg-diskann,0.9730000000000001,7.129125,9.958758349999998,100,100,100
pg-diskann,0.986,9.489042000000001,12.9759101,100,200,100
pg-diskann,0.988,10.2328335,13.5847979,100,200,150
pg-diskann,0.995,16.572729000000002,20.687917,100,400,200
pg-diskann,0.998,22.7435835,28.739043749999993,100,600,300
pg-diskann,0.998,26.4295415,32.87726635,100,800,400
pg-diskann,0.998,36.649771,42.79275145,100,1000,600
