engine,median_all_ms_tuning_only,min_mean_recall10,query_rescore,query_search_list_size,w2_0_1_median_ms,w2_0_1_min_returned,w2_0_1_p95_ms,w2_0_1_recall,w2_10_median_ms,w2_10_min_returned,w2_10_p95_ms,w2_10_recall,w2_1_median_ms,w2_1_min_returned,w2_1_p95_ms,w2_1_recall,w2_50_median_ms,w2_50_min_returned,w2_50_p95_ms,w2_50_recall,w3_median_ms,w3_min_returned,w3_p95_ms,w3_recall
pg-diskann,5.4413540000000005,0.027000000000000003,100,100,0.6460835,1,1.4497892999999997,0.027000000000000003,5.4921255,10,7.03350415,0.9510000000000002,5.5131250000000005,1,9.965495499999998,0.335,6.2883125,10,8.941795849999998,0.9710000000000001,5.653396,10,7.78658155,0.867
pg-diskann,7.3384585,0.027000000000000003,200,100,0.7017294999999999,1,1.566768099999999,0.027000000000000003,7.563791999999999,10,9.0830896,0.97,7.5766665,1,8.767616649999999,0.38199999999999995,7.4894165,10,9.60790805,0.991,7.9100005,10,9.87349855,0.9400000000000002
pg-diskann,8.407833,0.027000000000000003,200,150,0.716833,1,1.77367885,0.027000000000000003,8.545375,10,10.37104615,0.975,9.8995415,1,13.9067774,0.3949999999999999,8.237103999999999,10,10.352662499999997,0.991,9.602833,10,12.7530705,0.9450000000000003
pg-diskann,12.549062,0.027000000000000003,400,200,0.656687,1,2.3211297999999974,0.027000000000000003,12.717896,10,15.538864299999998,0.9870000000000002,12.0554585,1,16.6833806,0.428,13.496375,10,17.72558925,0.996,13.784749999999999,10,17.3380503,0.9740000000000001
pg-diskann,16.620396,0.027000000000000003,600,300,0.772229,1,1.3957145999999998,0.027000000000000003,17.398104500000002,10,20.203673199999997,0.9940000000000001,12.9936665,1,18.091943099999995,0.43,18.69925,10,22.39350175,0.998,17.441499999999998,10,20.77884795,0.986
pg-diskann,21.0167085,0.027000000000000003,800,400,0.5698544999999999,1,1.2298205499999995,0.027000000000000003,23.324896000000003,10,27.290643399999997,0.996,12.469645499999999,1,18.037416349999997,0.43,22.873229,10,27.95103545,0.998,22.552479499999997,10,26.9001444,0.992
