ef_search,engine,mean_recall10,median_latency_ms_tuning_only,p95_latency_ms_tuning_only,queries
40,pg-hnsw,0.9490000000000001,1.3267295,2.30389315,100
60,pg-hnsw,0.9640000000000001,1.603396,2.61132915,100
80,pg-hnsw,0.9690000000000001,1.9636040000000001,2.9778643,100
100,pg-hnsw,0.9740000000000001,2.4042079999999997,3.3628316000000003,100
150,pg-hnsw,0.9810000000000001,3.035625,4.484259799999999,100
200,pg-hnsw,0.9840000000000001,3.8122705000000003,5.63501875,100
300,pg-hnsw,0.99,5.3545835,7.075347599999999,100
400,pg-hnsw,0.99,6.117333,8.38501215,100
600,pg-hnsw,0.992,8.4460625,11.13548365,100
800,pg-hnsw,0.996,10.666167,14.78055595,100
1000,pg-hnsw,0.996,13.133479,17.114113149999998,100
