engine,dataset_size,repetition,workload,query_rank,latency_ms,recall10,returned_count,candidate_count,execution_path
pg-hnsw,100000,1,w1,550,2.625792,1.0,10,,hnsw
pg-hnsw,100000,1,w1,729,2.336375,1.0,10,,hnsw
pg-hnsw,100000,1,w1,743,2.211292,1.0,10,,hnsw
pg-hnsw,100000,1,w1,274,2.322333,1.0,10,,hnsw
pg-hnsw,100000,1,w1,570,2.391,1.0,10,,hnsw
pg-hnsw,100000,1,w1,245,1.335334,1.0,10,,hnsw
pg-hnsw,100000,1,w1,293,1.987417,1.0,10,,hnsw
pg-hnsw,100000,1,w1,666,2.836459,0.8,10,,hnsw
pg-hnsw,100000,1,w1,665,2.044375,0.9,10,,hnsw
pg-hnsw,100000,1,w1,945,2.965791,0.8,10,,hnsw
pg-hnsw,100000,1,w1,495,3.095208,1.0,10,,hnsw
pg-hnsw,100000,1,w1,394,2.945666,0.4,10,,hnsw
pg-hnsw,100000,1,w1,243,1.508708,1.0,10,,hnsw
pg-hnsw,100000,1,w1,255,1.5025,1.0,10,,hnsw
pg-hnsw,100000,1,w1,726,2.282958,1.0,10,,hnsw
pg-hnsw,100000,1,w1,189,1.955541,1.0,10,,hnsw
pg-hnsw,100000,1,w1,151,1.990917,1.0,10,,hnsw
pg-hnsw,100000,1,w1,192,2.079833,0.8,10,,hnsw
pg-hnsw,100000,1,w1,161,1.856458,1.0,10,,hnsw
pg-hnsw,100000,1,w1,833,2.443625,0.9,10,,hnsw
pg-hnsw,100000,1,w1,673,2.403,1.0,10,,hnsw
pg-hnsw,100000,1,w1,507,1.866459,1.0,10,,hnsw
pg-hnsw,100000,1,w1,129,2.476333,0.4,10,,hnsw
pg-hnsw,100000,1,w1,238,1.65575,1.0,10,,hnsw
pg-hnsw,100000,1,w1,260,2.280417,0.8,10,,hnsw
pg-hnsw,100000,1,w1,212,2.405292,1.0,10,,hnsw
pg-hnsw,100000,1,w1,208,2.293334,1.0,10,,hnsw
pg-hnsw,100000,1,w1,536,2.485583,1.0,10,,hnsw
pg-hnsw,100000,1,w1,508,1.41075,1.0,10,,hnsw
pg-hnsw,100000,1,w1,138,2.217166,1.0,10,,hnsw
pg-hnsw,100000,1,w1,442,2.608625,1.0,10,,hnsw
