engine,dataset_size,repetition,workload,query_rank,latency_ms,recall10,returned_count,candidate_count,execution_path
pg-diskann,100000,2,w1,633,9.063375,1.0,10,,diskann
pg-diskann,100000,2,w1,986,9.458916,1.0,10,,diskann
pg-diskann,100000,2,w1,746,5.837417,1.0,10,,diskann
pg-diskann,100000,2,w1,221,7.998708,1.0,10,,diskann
pg-diskann,100000,2,w1,328,7.243,1.0,10,,diskann
pg-diskann,100000,2,w1,944,10.28525,0.9,10,,diskann
pg-diskann,100000,2,w1,731,7.183125,1.0,10,,diskann
pg-diskann,100000,2,w1,464,9.113,1.0,10,,diskann
pg-diskann,100000,2,w1,218,7.800667,1.0,10,,diskann
pg-diskann,100000,2,w1,165,8.162416,1.0,10,,diskann
pg-diskann,100000,2,w1,795,8.3355,1.0,10,,diskann
pg-diskann,100000,2,w1,895,8.102958,1.0,10,,diskann
pg-diskann,100000,2,w1,533,5.549875,1.0,10,,diskann
pg-diskann,100000,2,w1,463,6.715875,1.0,10,,diskann
pg-diskann,100000,2,w1,180,6.867042,1.0,10,,diskann
pg-diskann,100000,2,w1,470,6.434708,1.0,10,,diskann
pg-diskann,100000,2,w1,709,8.135125,1.0,10,,diskann
pg-diskann,100000,2,w1,551,7.389209,1.0,10,,diskann
pg-diskann,100000,2,w1,884,6.191667,1.0,10,,diskann
pg-diskann,100000,2,w1,240,5.104292,1.0,10,,diskann
pg-diskann,100000,2,w1,449,6.0855,1.0,10,,diskann
pg-diskann,100000,2,w1,400,8.993042,1.0,10,,diskann
pg-diskann,100000,2,w1,759,8.3,0.9,10,,diskann
pg-diskann,100000,2,w1,734,7.861125,0.9,10,,diskann
pg-diskann,100000,2,w1,544,9.111625,1.0,10,,diskann
pg-diskann,100000,2,w1,366,7.571166,1.0,10,,diskann
pg-diskann,100000,2,w1,503,8.09175,1.0,10,,diskann
pg-diskann,100000,2,w1,390,9.256166,1.0,10,,diskann
pg-diskann,100000,2,w1,816,7.236333,1.0,10,,diskann
pg-diskann,100000,2,w1,645,8.23475,0.9,10,,diskann
pg-diskann,100000,2,w1,266,4.934791,1.0,10,,diskann
pg-diskann,100000,2,w1,547,11.548416,1.0,10,,diskann
pg-diskann,100000,2,w1,972,8.010667,1.0,10,,diskann
pg-diskann,100000,2,w1,755,8.281291,1.0,10,,diskann
pg-diskann,100000,2,w1,321,8.78775,1.0,10,,diskann
pg-diskann,100000,2,w1,227,8.684208,1.0,10,,diskann
pg-diskann,100000,2,w1,954,7.452167,1.0,10,,diskann
pg-diskann,100000,2,w1,386,6.752541,1.0,10,,diskann
pg-diskann,100000,2,w1,670,6.185041,1.0,10,,diskann
pg-diskann,100000,2,w1,476,8.495375,0.9,10,,diskann
pg-diskann,100000,2,w1,316,5.643833,1.0,10,,diskann
pg-diskann,100000,2,w1,987,6.0465,1.0,10,,diskann
pg-diskann,100000,2,w1,362,6.340458,1.0,10,,diskann
pg-diskann,100000,2,w1,237,8.201958,0.9,10,,diskann
pg-diskann,100000,2,w1,894,6.043958,1.0,10,,diskann
pg-diskann,100000,2,w1,367,6.373708,0.9,10,,diskann
pg-diskann,100000,2,w1,671,6.204625,0.9,10,,diskann
pg-diskann,100000,2,w1,800,6.35275,1.0,10,,diskann
pg-diskann,100000,2,w1,867,6.845959,0.8,10,,diskann
pg-diskann,100000,2,w1,611,4.908083,1.0,10,,diskann
pg-diskann,100000,2,w1,158,6.19,1.0,10,,diskann
pg-diskann,100000,2,w1,823,7.395791,1.0,10,,diskann
pg-diskann,100000,2,w1,715,6.569792,1.0,10,,diskann
pg-diskann,100000,2,w1,819,5.45425,1.0,10,,diskann
pg-diskann,100000,2,w1,985,4.559333,1.0,10,,diskann
pg-diskann,100000,2,w1,236,7.195042,0.9,10,,diskann
pg-diskann,100000,2,w1,382,6.090708,1.0,10,,diskann
pg-diskann,100000,2,w1,705,3.859542,1.0,10,,diskann
pg-diskann,100000,2,w1,901,7.659167,0.9,10,,diskann
pg-diskann,100000,2,w1,907,9.142333,1.0,10,,diskann
pg-diskann,100000,2,w1,809,7.33,1.0,10,,diskann
pg-diskann,100000,2,w1,687,7.492042,0.8,10,,diskann
pg-diskann,100000,2,w1,672,5.284042,1.0,10,,diskann
pg-diskann,100000,2,w1,203,4.852625,1.0,10,,diskann
pg-diskann,100000,2,w1,517,6.684,0.8,10,,diskann
pg-diskann,100000,2,w1,121,5.635792,0.9,10,,diskann
pg-diskann,100000,2,w1,704,6.013833,1.0,10,,diskann
pg-diskann,100000,2,w1,940,5.6625,0.9,10,,diskann
pg-diskann,100000,2,w1,864,4.003709,1.0,10,,diskann
pg-diskann,100000,2,w1,851,3.834333,0.9,10,,diskann
pg-diskann,100000,2,w1,294,4.508042,1.0,10,,diskann
pg-diskann,100000,2,w1,724,6.208292,1.0,10,,diskann
pg-diskann,100000,2,w1,161,4.615375,1.0,10,,diskann
pg-diskann,100000,2,w1,979,6.585292,0.8,10,,diskann
pg-diskann,100000,2,w1,931,4.667166,1.0,10,,diskann
pg-diskann,100000,2,w1,930,5.614,0.9,10,,diskann
pg-diskann,100000,2,w1,262,5.748833,1.0,10,,diskann
pg-diskann,100000,2,w1,974,4.682166,1.0,10,,diskann
pg-diskann,100000,2,w1,230,6.146792,1.0,10,,diskann
pg-diskann,100000,2,w1,625,5.316459,1.0,10,,diskann
pg-diskann,100000,2,w1,675,5.152584,1.0,10,,diskann
pg-diskann,100000,2,w1,419,6.491,1.0,10,,diskann
pg-diskann,100000,2,w1,344,4.955833,1.0,10,,diskann
pg-diskann,100000,2,w1,812,5.345083,1.0,10,,diskann
pg-diskann,100000,2,w1,921,6.641125,0.9,10,,diskann
pg-diskann,100000,2,w1,958,6.918375,1.0,10,,diskann
pg-diskann,100000,2,w1,849,5.150667,1.0,10,,diskann
pg-diskann,100000,2,w1,186,5.748,1.0,10,,diskann
pg-diskann,100000,2,w1,857,4.68775,1.0,10,,diskann
pg-diskann,100000,2,w1,697,4.73925,1.0,10,,diskann
pg-diskann,100000,2,w1,786,6.305958,1.0,10,,diskann
pg-diskann,100000,2,w1,855,6.679458,1.0,10,,diskann
pg-diskann,100000,2,w1,350,6.860125,1.0,10,,diskann
pg-diskann,100000,2,w1,588,5.841875,1.0,10,,diskann
pg-diskann,100000,2,w1,530,6.762208,0.9,10,,diskann
pg-diskann,100000,2,w1,916,7.19125,1.0,10,,diskann
pg-diskann,100000,2,w1,767,7.354125,0.8,10,,diskann
pg-diskann,100000,2,w1,311,6.168583,0.9,10,,diskann
pg-diskann,100000,2,w1,922,6.057834,1.0,10,,diskann
pg-diskann,100000,2,w1,393,7.350208,1.0,10,,diskann
