engine,dataset_size,repetition,workload,query_rank,latency_ms,recall10,returned_count,candidate_count,execution_path
pg-diskann,100000,3,w1,423,5.905209,1.0,10,,diskann
pg-diskann,100000,3,w1,122,6.87675,1.0,10,,diskann
pg-diskann,100000,3,w1,706,6.525125,1.0,10,,diskann
pg-diskann,100000,3,w1,418,6.796709,1.0,10,,diskann
pg-diskann,100000,3,w1,908,8.131625,1.0,10,,diskann
pg-diskann,100000,3,w1,642,6.766042,1.0,10,,diskann
pg-diskann,100000,3,w1,515,8.667292,1.0,10,,diskann
pg-diskann,100000,3,w1,225,8.384167,1.0,10,,diskann
pg-diskann,100000,3,w1,176,6.1445,1.0,10,,diskann
pg-diskann,100000,3,w1,644,6.098542,1.0,10,,diskann
pg-diskann,100000,3,w1,576,6.768292,0.9,10,,diskann
pg-diskann,100000,3,w1,785,7.070958,0.7,10,,diskann
pg-diskann,100000,3,w1,431,4.771584,1.0,10,,diskann
pg-diskann,100000,3,w1,415,5.463542,1.0,10,,diskann
pg-diskann,100000,3,w1,508,4.688209,1.0,10,,diskann
pg-diskann,100000,3,w1,248,5.757959,1.0,10,,diskann
pg-diskann,100000,3,w1,522,5.166375,0.9,10,,diskann
pg-diskann,100000,3,w1,301,5.277417,1.0,10,,diskann
pg-diskann,100000,3,w1,694,6.212083,1.0,10,,diskann
pg-diskann,100000,3,w1,711,4.09525,1.0,10,,diskann
pg-diskann,100000,3,w1,227,6.67375,1.0,10,,diskann
pg-diskann,100000,3,w1,880,5.07175,0.9,10,,diskann
pg-diskann,100000,3,w1,701,7.084375,1.0,10,,diskann
pg-diskann,100000,3,w1,113,8.747917,1.0,10,,diskann
pg-diskann,100000,3,w1,656,7.866,0.9,10,,diskann
pg-diskann,100000,3,w1,899,6.601667,1.0,10,,diskann
pg-diskann,100000,3,w1,351,6.13525,1.0,10,,diskann
pg-diskann,100000,3,w1,620,5.9435,1.0,10,,diskann
pg-diskann,100000,3,w1,792,6.161833,1.0,10,,diskann
pg-diskann,100000,3,w1,492,5.277,0.9,10,,diskann
pg-diskann,100000,3,w1,802,5.909,1.0,10,,diskann
pg-diskann,100000,3,w1,328,6.49575,1.0,10,,diskann
pg-diskann,100000,3,w1,131,4.056875,1.0,10,,diskann
pg-diskann,100000,3,w1,445,5.385458,1.0,10,,diskann
pg-diskann,100000,3,w1,739,4.373209,1.0,10,,diskann
pg-diskann,100000,3,w1,413,5.702583,1.0,10,,diskann
pg-diskann,100000,3,w1,950,3.865959,1.0,10,,diskann
pg-diskann,100000,3,w1,458,5.495417,1.0,10,,diskann
pg-diskann,100000,3,w1,427,8.031125,0.8,10,,diskann
pg-diskann,100000,3,w1,505,6.327625,1.0,10,,diskann
pg-diskann,100000,3,w1,134,7.555875,0.7,10,,diskann
pg-diskann,100000,3,w1,635,5.440375,1.0,10,,diskann
pg-diskann,100000,3,w1,961,5.8475,1.0,10,,diskann
pg-diskann,100000,3,w1,949,5.512458,1.0,10,,diskann
pg-diskann,100000,3,w1,173,5.604667,1.0,10,,diskann
pg-diskann,100000,3,w1,546,6.965708,1.0,10,,diskann
pg-diskann,100000,3,w1,915,6.638541,1.0,10,,diskann
pg-diskann,100000,3,w1,700,8.186709,1.0,10,,diskann
pg-diskann,100000,3,w1,203,5.595916,1.0,10,,diskann
pg-diskann,100000,3,w1,396,6.653125,1.0,10,,diskann
pg-diskann,100000,3,w1,422,5.726541,1.0,10,,diskann
pg-diskann,100000,3,w1,536,6.541375,1.0,10,,diskann
pg-diskann,100000,3,w1,793,7.456458,1.0,10,,diskann
pg-diskann,100000,3,w1,368,5.580083,1.0,10,,diskann
pg-diskann,100000,3,w1,608,5.062666,1.0,10,,diskann
pg-diskann,100000,3,w1,715,6.469125,1.0,10,,diskann
pg-diskann,100000,3,w1,895,6.515959,1.0,10,,diskann
pg-diskann,100000,3,w1,627,7.754,1.0,10,,diskann
pg-diskann,100000,3,w1,809,8.433834,1.0,10,,diskann
pg-diskann,100000,3,w1,638,7.733542,1.0,10,,diskann
pg-diskann,100000,3,w1,794,5.559042,1.0,10,,diskann
pg-diskann,100000,3,w1,387,6.03725,1.0,10,,diskann
pg-diskann,100000,3,w1,406,5.52975,1.0,10,,diskann
pg-diskann,100000,3,w1,993,6.060125,1.0,10,,diskann
pg-diskann,100000,3,w1,363,6.6965,1.0,10,,diskann
pg-diskann,100000,3,w1,657,7.327208,1.0,10,,diskann
pg-diskann,100000,3,w1,317,5.48675,1.0,10,,diskann
pg-diskann,100000,3,w1,671,6.947416,0.9,10,,diskann
pg-diskann,100000,3,w1,691,6.156709,1.0,10,,diskann
pg-diskann,100000,3,w1,755,6.153917,1.0,10,,diskann
pg-diskann,100000,3,w1,798,7.393917,1.0,10,,diskann
pg-diskann,100000,3,w1,851,5.109333,0.9,10,,diskann
pg-diskann,100000,3,w1,955,5.294,1.0,10,,diskann
pg-diskann,100000,3,w1,494,6.055667,1.0,10,,diskann
pg-diskann,100000,3,w1,874,11.417291,1.0,10,,diskann
pg-diskann,100000,3,w1,486,6.808458,1.0,10,,diskann
pg-diskann,100000,3,w1,562,5.433417,1.0,10,,diskann
pg-diskann,100000,3,w1,316,7.428959,1.0,10,,diskann
pg-diskann,100000,3,w1,401,6.56375,1.0,10,,diskann
pg-diskann,100000,3,w1,290,6.982167,1.0,10,,diskann
pg-diskann,100000,3,w1,746,5.7505,1.0,10,,diskann
pg-diskann,100000,3,w1,520,6.105292,1.0,10,,diskann
pg-diskann,100000,3,w1,481,7.213583,1.0,10,,diskann
pg-diskann,100000,3,w1,319,7.185709,1.0,10,,diskann
pg-diskann,100000,3,w1,539,5.688042,1.0,10,,diskann
pg-diskann,100000,3,w1,769,5.765375,1.0,10,,diskann
pg-diskann,100000,3,w1,988,5.068208,1.0,10,,diskann
pg-diskann,100000,3,w1,407,5.975458,1.0,10,,diskann
pg-diskann,100000,3,w1,927,6.684,0.9,10,,diskann
pg-diskann,100000,3,w1,314,8.544792,1.0,10,,diskann
pg-diskann,100000,3,w1,605,6.714208,1.0,10,,diskann
pg-diskann,100000,3,w1,559,8.179292,0.9,10,,diskann
pg-diskann,100000,3,w1,956,8.738375,1.0,10,,diskann
pg-diskann,100000,3,w1,529,11.24775,1.0,10,,diskann
pg-diskann,100000,3,w1,129,7.302125,0.8,10,,diskann
pg-diskann,100000,3,w1,578,6.107667,1.0,10,,diskann
pg-diskann,100000,3,w1,718,5.316166,1.0,10,,diskann
pg-diskann,100000,3,w1,738,8.29125,1.0,10,,diskann
pg-diskann,100000,3,w1,877,4.785709,1.0,10,,diskann
pg-diskann,100000,3,w1,284,8.609208,1.0,10,,diskann
pg-diskann,100000,3,w1,321,5.883959,1.0,10,,diskann
pg-diskann,100000,3,w1,856,6.622,0.9,10,,diskann
pg-diskann,100000,3,w1,474,5.24175,1.0,10,,diskann
pg-diskann,100000,3,w1,375,6.093458,1.0,10,,diskann
pg-diskann,100000,3,w1,541,8.6565,0.8,10,,diskann
pg-diskann,100000,3,w1,893,8.25125,1.0,10,,diskann
pg-diskann,100000,3,w1,360,8.307375,1.0,10,,diskann
pg-diskann,100000,3,w1,148,8.519875,1.0,10,,diskann
pg-diskann,100000,3,w1,859,5.650541,1.0,10,,diskann
pg-diskann,100000,3,w1,349,7.523042,0.9,10,,diskann
pg-diskann,100000,3,w1,714,6.317708,0.9,10,,diskann
pg-diskann,100000,3,w1,986,5.5595,1.0,10,,diskann
pg-diskann,100000,3,w1,298,7.829292,1.0,10,,diskann
