engine,dataset_size,repetition,workload,query_rank,latency_ms,recall10,returned_count,candidate_count,execution_path
pg-hnsw,100000,3,w1,423,1.305291,1.0,10,,hnsw
pg-hnsw,100000,3,w1,122,1.563042,1.0,10,,hnsw
pg-hnsw,100000,3,w1,706,1.825542,1.0,10,,hnsw
pg-hnsw,100000,3,w1,418,1.609,1.0,10,,hnsw
pg-hnsw,100000,3,w1,908,1.4065,1.0,10,,hnsw
pg-hnsw,100000,3,w1,642,1.598833,1.0,10,,hnsw
pg-hnsw,100000,3,w1,515,2.020541,1.0,10,,hnsw
pg-hnsw,100000,3,w1,225,1.646042,1.0,10,,hnsw
pg-hnsw,100000,3,w1,176,1.982292,1.0,10,,hnsw
pg-hnsw,100000,3,w1,644,1.63625,1.0,10,,hnsw
pg-hnsw,100000,3,w1,576,2.230708,0.7,10,,hnsw
pg-hnsw,100000,3,w1,785,2.290625,0.9,10,,hnsw
pg-hnsw,100000,3,w1,431,1.255708,1.0,10,,hnsw
pg-hnsw,100000,3,w1,415,1.854625,1.0,10,,hnsw
pg-hnsw,100000,3,w1,508,1.279,1.0,10,,hnsw
pg-hnsw,100000,3,w1,248,1.6585,0.9,10,,hnsw
pg-hnsw,100000,3,w1,522,1.618541,1.0,10,,hnsw
pg-hnsw,100000,3,w1,301,1.760208,1.0,10,,hnsw
pg-hnsw,100000,3,w1,694,1.720667,0.8,10,,hnsw
pg-hnsw,100000,3,w1,711,1.631916,0.9,10,,hnsw
pg-hnsw,100000,3,w1,227,2.254292,1.0,10,,hnsw
pg-hnsw,100000,3,w1,880,2.350167,0.8,10,,hnsw
pg-hnsw,100000,3,w1,701,2.16875,1.0,10,,hnsw
pg-hnsw,100000,3,w1,113,1.629833,1.0,10,,hnsw
pg-hnsw,100000,3,w1,656,2.961458,1.0,10,,hnsw
pg-hnsw,100000,3,w1,899,2.4365,0.9,10,,hnsw
pg-hnsw,100000,3,w1,351,2.274959,1.0,10,,hnsw
pg-hnsw,100000,3,w1,620,2.2795,1.0,10,,hnsw
pg-hnsw,100000,3,w1,792,1.691542,1.0,10,,hnsw
pg-hnsw,100000,3,w1,492,1.567375,1.0,10,,hnsw
pg-hnsw,100000,3,w1,802,1.717166,1.0,10,,hnsw
pg-hnsw,100000,3,w1,328,1.539125,1.0,10,,hnsw
pg-hnsw,100000,3,w1,131,1.721792,1.0,10,,hnsw
pg-hnsw,100000,3,w1,445,1.593292,1.0,10,,hnsw
pg-hnsw,100000,3,w1,739,1.608833,1.0,10,,hnsw
pg-hnsw,100000,3,w1,413,2.180958,1.0,10,,hnsw
pg-hnsw,100000,3,w1,950,1.558542,1.0,10,,hnsw
pg-hnsw,100000,3,w1,458,1.746375,1.0,10,,hnsw
pg-hnsw,100000,3,w1,427,2.361542,0.6,10,,hnsw
pg-hnsw,100000,3,w1,505,2.280208,1.0,10,,hnsw
pg-hnsw,100000,3,w1,134,2.435708,0.8,10,,hnsw
pg-hnsw,100000,3,w1,635,1.7275,1.0,10,,hnsw
pg-hnsw,100000,3,w1,961,2.09175,1.0,10,,hnsw
pg-hnsw,100000,3,w1,949,1.72275,1.0,10,,hnsw
pg-hnsw,100000,3,w1,173,1.681584,0.9,10,,hnsw
pg-hnsw,100000,3,w1,546,1.934916,1.0,10,,hnsw
pg-hnsw,100000,3,w1,915,1.632042,1.0,10,,hnsw
pg-hnsw,100000,3,w1,700,1.778208,1.0,10,,hnsw
pg-hnsw,100000,3,w1,203,1.745083,1.0,10,,hnsw
pg-hnsw,100000,3,w1,396,3.074959,1.0,10,,hnsw
pg-hnsw,100000,3,w1,422,2.155042,1.0,10,,hnsw
pg-hnsw,100000,3,w1,536,1.931833,1.0,10,,hnsw
pg-hnsw,100000,3,w1,793,1.695,0.9,10,,hnsw
pg-hnsw,100000,3,w1,368,1.571292,1.0,10,,hnsw
pg-hnsw,100000,3,w1,608,1.612167,1.0,10,,hnsw
pg-hnsw,100000,3,w1,715,1.345375,1.0,10,,hnsw
pg-hnsw,100000,3,w1,895,1.774167,1.0,10,,hnsw
pg-hnsw,100000,3,w1,627,2.432959,0.8,10,,hnsw
pg-hnsw,100000,3,w1,809,2.171,1.0,10,,hnsw
pg-hnsw,100000,3,w1,638,1.318334,1.0,10,,hnsw
pg-hnsw,100000,3,w1,794,1.429125,1.0,10,,hnsw
pg-hnsw,100000,3,w1,387,1.774375,1.0,10,,hnsw
pg-hnsw,100000,3,w1,406,1.839208,1.0,10,,hnsw
pg-hnsw,100000,3,w1,993,2.196167,1.0,10,,hnsw
pg-hnsw,100000,3,w1,363,2.232708,0.9,10,,hnsw
pg-hnsw,100000,3,w1,657,2.156458,0.9,10,,hnsw
pg-hnsw,100000,3,w1,317,2.038375,1.0,10,,hnsw
pg-hnsw,100000,3,w1,671,2.140834,0.9,10,,hnsw
pg-hnsw,100000,3,w1,691,2.116417,1.0,10,,hnsw
pg-hnsw,100000,3,w1,755,1.983333,1.0,10,,hnsw
pg-hnsw,100000,3,w1,798,1.711625,1.0,10,,hnsw
pg-hnsw,100000,3,w1,851,1.936417,0.9,10,,hnsw
pg-hnsw,100000,3,w1,955,1.910625,1.0,10,,hnsw
pg-hnsw,100000,3,w1,494,1.893458,0.9,10,,hnsw
pg-hnsw,100000,3,w1,874,2.645541,0.8,10,,hnsw
pg-hnsw,100000,3,w1,486,2.068708,1.0,10,,hnsw
pg-hnsw,100000,3,w1,562,1.781834,1.0,10,,hnsw
pg-hnsw,100000,3,w1,316,2.009667,1.0,10,,hnsw
pg-hnsw,100000,3,w1,401,2.085375,1.0,10,,hnsw
pg-hnsw,100000,3,w1,290,1.768792,1.0,10,,hnsw
pg-hnsw,100000,3,w1,746,1.604875,1.0,10,,hnsw
pg-hnsw,100000,3,w1,520,1.94275,1.0,10,,hnsw
pg-hnsw,100000,3,w1,481,2.107791,1.0,10,,hnsw
pg-hnsw,100000,3,w1,319,1.687792,1.0,10,,hnsw
pg-hnsw,100000,3,w1,539,1.831791,1.0,10,,hnsw
pg-hnsw,100000,3,w1,769,1.746583,0.9,10,,hnsw
pg-hnsw,100000,3,w1,988,1.551208,1.0,10,,hnsw
pg-hnsw,100000,3,w1,407,1.931875,1.0,10,,hnsw
pg-hnsw,100000,3,w1,927,1.971625,0.7,10,,hnsw
pg-hnsw,100000,3,w1,314,2.356375,0.7,10,,hnsw
pg-hnsw,100000,3,w1,605,1.640459,1.0,10,,hnsw
pg-hnsw,100000,3,w1,559,2.342084,1.0,10,,hnsw
pg-hnsw,100000,3,w1,956,2.687958,1.0,10,,hnsw
pg-hnsw,100000,3,w1,529,2.119083,1.0,10,,hnsw
pg-hnsw,100000,3,w1,129,2.302834,0.4,10,,hnsw
pg-hnsw,100000,3,w1,578,1.793583,1.0,10,,hnsw
pg-hnsw,100000,3,w1,718,1.567917,0.9,10,,hnsw
pg-hnsw,100000,3,w1,738,2.657375,1.0,10,,hnsw
pg-hnsw,100000,3,w1,877,1.296709,1.0,10,,hnsw
pg-hnsw,100000,3,w1,284,2.09975,1.0,10,,hnsw
pg-hnsw,100000,3,w1,321,2.330541,1.0,10,,hnsw
pg-hnsw,100000,3,w1,856,1.64525,0.9,10,,hnsw
pg-hnsw,100000,3,w1,474,1.554333,1.0,10,,hnsw
pg-hnsw,100000,3,w1,375,1.645458,1.0,10,,hnsw
pg-hnsw,100000,3,w1,541,2.472083,0.5,10,,hnsw
pg-hnsw,100000,3,w1,893,2.534583,1.0,10,,hnsw
pg-hnsw,100000,3,w1,360,2.032875,1.0,10,,hnsw
pg-hnsw,100000,3,w1,148,2.489292,0.8,10,,hnsw
pg-hnsw,100000,3,w1,859,1.45125,1.0,10,,hnsw
pg-hnsw,100000,3,w1,349,1.879167,0.8,10,,hnsw
pg-hnsw,100000,3,w1,714,1.917916,0.9,10,,hnsw
pg-hnsw,100000,3,w1,986,1.991292,1.0,10,,hnsw
pg-hnsw,100000,3,w1,298,2.357875,1.0,10,,hnsw
pg-hnsw,100000,3,w1,537,2.492792,0.7,10,,hnsw
pg-hnsw,100000,3,w1,217,2.260041,1.0,10,,hnsw
pg-hnsw,100000,3,w1,172,1.915209,0.9,10,,hnsw
pg-hnsw,100000,3,w1,262,2.295166,0.8,10,,hnsw
pg-hnsw,100000,3,w1,834,1.968667,0.9,10,,hnsw
pg-hnsw,100000,3,w1,965,2.189417,1.0,10,,hnsw
pg-hnsw,100000,3,w1,853,2.623875,0.6,10,,hnsw
pg-hnsw,100000,3,w1,641,1.452667,1.0,10,,hnsw
pg-hnsw,100000,3,w1,501,1.531792,1.0,10,,hnsw
pg-hnsw,100000,3,w1,452,1.864958,1.0,10,,hnsw
pg-hnsw,100000,3,w1,655,2.026042,1.0,10,,hnsw
pg-hnsw,100000,3,w1,903,2.136959,0.9,10,,hnsw
pg-hnsw,100000,3,w1,983,1.810833,1.0,10,,hnsw
pg-hnsw,100000,3,w1,747,1.522083,1.0,10,,hnsw
pg-hnsw,100000,3,w1,130,1.757792,1.0,10,,hnsw
pg-hnsw,100000,3,w1,588,2.604417,0.9,10,,hnsw
pg-hnsw,100000,3,w1,613,1.399459,1.0,10,,hnsw
pg-hnsw,100000,3,w1,432,2.023416,1.0,10,,hnsw
pg-hnsw,100000,3,w1,684,1.473708,1.0,10,,hnsw
pg-hnsw,100000,3,w1,336,1.888375,1.0,10,,hnsw
pg-hnsw,100000,3,w1,881,2.179667,1.0,10,,hnsw
pg-hnsw,100000,3,w1,307,1.826334,1.0,10,,hnsw
pg-hnsw,100000,3,w1,239,2.2435,1.0,10,,hnsw
pg-hnsw,100000,3,w1,179,1.523125,1.0,10,,hnsw
pg-hnsw,100000,3,w1,488,1.775541,1.0,10,,hnsw
pg-hnsw,100000,3,w1,535,2.211042,1.0,10,,hnsw
pg-hnsw,100000,3,w1,911,1.846958,1.0,10,,hnsw
pg-hnsw,100000,3,w1,630,1.662875,1.0,10,,hnsw
pg-hnsw,100000,3,w1,274,1.921541,1.0,10,,hnsw
pg-hnsw,100000,3,w1,108,1.701875,1.0,10,,hnsw
pg-hnsw,100000,3,w1,435,1.733208,1.0,10,,hnsw
pg-hnsw,100000,3,w1,464,2.477375,0.9,10,,hnsw
pg-hnsw,100000,3,w1,858,1.648625,1.0,10,,hnsw
pg-hnsw,100000,3,w1,470,1.476,1.0,10,,hnsw
pg-hnsw,100000,3,w1,544,1.903709,1.0,10,,hnsw
pg-hnsw,100000,3,w1,380,1.770875,0.7,10,,hnsw
pg-hnsw,100000,3,w1,264,1.223875,1.0,10,,hnsw
pg-hnsw,100000,3,w1,249,1.667916,1.0,10,,hnsw
pg-hnsw,100000,3,w1,285,1.906958,1.0,10,,hnsw
pg-hnsw,100000,3,w1,504,1.901875,1.0,10,,hnsw
pg-hnsw,100000,3,w1,612,2.154375,1.0,10,,hnsw
pg-hnsw,100000,3,w1,957,1.812084,1.0,10,,hnsw
pg-hnsw,100000,3,w1,206,2.337334,0.8,10,,hnsw
pg-hnsw,100000,3,w1,469,1.917375,1.0,10,,hnsw
pg-hnsw,100000,3,w1,516,1.639459,1.0,10,,hnsw
pg-hnsw,100000,3,w1,116,5.8585,0.9,10,,hnsw
pg-hnsw,100000,3,w1,788,2.499333,0.4,10,,hnsw
pg-hnsw,100000,3,w1,170,3.133334,0.9,10,,hnsw
pg-hnsw,100000,3,w1,710,2.019666,1.0,10,,hnsw
pg-hnsw,100000,3,w1,992,2.117125,1.0,10,,hnsw
